title_year,imdbId,genres,director,cast,short_summary,poster,trailer,screenshot1,screenshot2,screenshot3,screenshot4,screenshot5,screenshot6,screenshot7,screenshot8,Animation,Mystery,Action,Thriller,Sci-Fi,Adventure,Children,Fantasy,Crime,Documentary,Drama,Romance,Comedy,War,Western,Horror
Toy Story 4 (2019),1979376,Adventure|Animation|Children|Comedy,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@.V1_UY800.jpg,https://www.imdb.com/video/vi4092247833,https://m.media-amazon.com/images/M/MV5BNWViZmQwMTUtMmIxMi00YjBmLTgwZjQtODc4MDA4NTg1NmQ3XkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjQwYjM3MGUtZTk3NC00ODc0LTgwY2UtODA3MGMwNTNhMzZmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZGRiNTNmMjQtZDMyNS00MTg5LWI2ZGItZWZjM2UwMmM1YmYwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZWE3ZGM4MWQtYTYyNC00NDYzLWE4NjUtNDFkODljNTkyNGZlXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZWM2M2M4OWMtMmM0NS00YWQzLWI5MjQtMDNlMjljNmMyMWE1XkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDFkOWQ2ZmMtNjA1Yi00NTYyLTljNTUtOTY5OGJiNDlmYmE0XkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTJhMDA2MmMtZDlhNy00ZDZkLWJiNjktYzIxZjMxY2ZmMDZiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BY2YyMWY0ZDYtZTZhMC00NGViLWFlNTMtYzJhY2IzMGZlNjlkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
Shazam! (2019),448115,Action|Adventure|Fantasy|Sci-Fi,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,https://m.media-amazon.com/images/M/MV5BYTE0Yjc1NzUtMjFjMC00Y2I3LTg3NGYtNGRlMGJhYThjMTJmXkEyXkFqcGdeQXVyNTI4MzE4MDU@.V1_UY800.jpg,https://www.imdb.com/video/vi2067447577,https://m.media-amazon.com/images/M/MV5BNGYzYWFjZDQtZmYzYy00YTk1LWJiN2MtNzc1NGQ4MDg2NWNhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjEzZTk2NmQtOTZjYy00MmU1LThmYTYtOWI0ZjZhZmU4YzMxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BM2M1ODA3YjQtNmExYy00MmM0LTkzNmUtNmVlNmEyNGY2NzYwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTdiZjUwZjAtMDRlNi00N2E1LWFkMDQtNTkyMDQ2YjA2MGMyXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDAyZTRlMzItZTMzOC00ODU4LWI5MWEtZDhmMTJlMzY2MTVjXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDU4OGIxMjctYzM0ZS00MGUwLWE0M2EtMmE0MGFiNWZhNGViXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjBiMjJjNjEtY2RkOC00NjlhLThmMzYtMDEwZGFmMzMzMzlkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYTcwMzNhZTItOGJiOS00ZDNhLWI3OWItMThiMTczMGNiMmQyXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.V1_UY800.jpg,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False
Aquaman (2018),1477834,Action|Fantasy|Sci-Fi,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@.V1_UY800.jpg,https://www.imdb.com/video/vi3555114265,https://m.media-amazon.com/images/M/MV5BMjE2MDg1OTg5NF5BMl5BanBnXkFtZTgwMTIwMTg0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjQ2MDczNzEzMV5BMl5BanBnXkFtZTgwOTE2MTgwNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjE3Nzk1NDMzMV5BMl5BanBnXkFtZTgwMjI2MTgwNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTU2ODM3MTk2Ml5BMl5BanBnXkFtZTgwMzI2MTgwNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjMxMTA1MDEwNF5BMl5BanBnXkFtZTgwOTcxNDY5NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzE4NTgzMDkxOF5BMl5BanBnXkFtZTgwMDgxNDY5NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTk4MjA0NTExNl5BMl5BanBnXkFtZTgwMTgxNDY5NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjA2MDU4MzgxOV5BMl5BanBnXkFtZTgwMjgxNDY5NTM@.V1_UY800.jpg,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
Spider-Man: Into the Spider-Verse (2018),4633694,Action|Adventure|Animation|Sci-Fi,James Wan,"Shameik Moore, Jake Johnson, Hailee Steinfeld","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@.V1_UY800.jpg,https://www.imdb.com/video/vi349749017,https://m.media-amazon.com/images/M/MV5BMTU4NjYwNzAxN15BMl5BanBnXkFtZTgwMDkyODI4NjM@.V1_UY800.jpg,"https://m.media-amazon.com/images/M/MV5BMTA2NDExMzc2ODJeQTJeQWpwZ15BbWU4MDE5MjgyODYz._V1_UY100_CR69,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMjIzMzA1MDgzNV5BMl5BanBnXkFtZTgwMjkyODI4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTgxODE5MDgyOV5BMl5BanBnXkFtZTgwMzkyODI4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTA4MTYxMTM5OF5BMl5BanBnXkFtZTgwNjgyODI4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjUzNzc3NjQ4OF5BMl5BanBnXkFtZTgwNzgyODI4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzgxNTEwNDI5OV5BMl5BanBnXkFtZTgwODgyODI4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjA0MTgwNTM5MV5BMl5BanBnXkFtZTgwOTgyODI4NjM@.V1_UY800.jpg,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Ant-Man and the Wasp (2018),5095030,Action|Adventure|Comedy|Fantasy|Sci-Fi,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@.V1_UY800.jpg,https://www.imdb.com/video/vi485735705,https://m.media-amazon.com/images/M/MV5BMTc0MDk5MDg0Ml5BMl5BanBnXkFtZTgwMTQxMzkzNTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzUwOTcyMjQ0Ml5BMl5BanBnXkFtZTgwMTMxMzkzNTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjM4MDA4MDEwNV5BMl5BanBnXkFtZTgwODg5NTk2NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTg3NDY5OTIzN15BMl5BanBnXkFtZTgwOTg5NTk2NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjQ2MjkyMjg1Ml5BMl5BanBnXkFtZTgwMDk5NTk2NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjE3MzIxNzE0MV5BMl5BanBnXkFtZTgwMTk5NTk2NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTAwNDU5MjQyMF5BMl5BanBnXkFtZTgwMDkwMDk1NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDA1NjY5MDgtMmY4ZC00NzU4LTk0MzEtYjYwNjBlMjUwM2JhXkEyXkFqcGdeQXVyNjk1NTA0ODY@.V1_UY800.jpg,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False
Ocean's 8 (2018),5164214,Action|Comedy|Crime|Thriller,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,https://m.media-amazon.com/images/M/MV5BMjAyNDEyMzc4Ml5BMl5BanBnXkFtZTgwMjEzNjM0NTM@.V1_UY800.jpg,https://www.imdb.com/video/vi1633794841,https://m.media-amazon.com/images/M/MV5BMTk5Njk0MTkxNl5BMl5BanBnXkFtZTgwMjkwNTc1NTM@.V1_UY800.jpg,"https://m.media-amazon.com/images/M/MV5BMTEzMzE2Nzk2ODJeQTJeQWpwZ15BbWU4MDM5MDU3NTUz._V1_UY100_CR25,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMjQzNjUxMzY5M15BMl5BanBnXkFtZTgwNDkwNTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTU4NjkxNDAwOF5BMl5BanBnXkFtZTgwNTkwNTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzA5NzE5NTc3Nl5BMl5BanBnXkFtZTgwNjkwNTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTYxMzMyNTczM15BMl5BanBnXkFtZTgwNzkwNTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTc1ODcxNDcwMF5BMl5BanBnXkFtZTgwODkwNTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzQxMTg0NTU4MF5BMl5BanBnXkFtZTgwOTkwNTc1NTM@.V1_UY800.jpg,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False
Deadpool 2 (2018),5463162,Action|Comedy|Sci-Fi,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",https://m.media-amazon.com/images/M/MV5BNjk1Njk3YjctMmMyYS00Y2I4LThhMzktN2U0MTMyZTFlYWQ5XkEyXkFqcGdeQXVyODM2ODEzMDA@.V1_UY800.jpg,https://www.imdb.com/video/vi1716698137,https://m.media-amazon.com/images/M/MV5BNmRiYzhmNWMtYzc1OC00OThmLThiYzQtZDYyNjNjZjBlNjgyXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTJjMDRkOTUtNTIxOS00NjY4LTg0NWItNmU1ZGVhNDc2OTU4XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNWUzZjAxZjMtNDdmNy00NTFiLTlkNGEtNjllZjFiNzk3ZjYyXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOGNiMjYwYzMtMTE5Ni00MGZkLTk0ZTQtMDA4NTNiNTVjMTRiXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDlmYjNjMWUtZWNkNS00NmU4LTgxZGYtOWUxZjlkNzc3NmFhXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYjhmZjQ1OTItY2MyMy00Y2ZhLTkxNTUtMzA1MWU4NWJjMWNlXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZjRiMTcwZDQtZDE2Ny00ZTJhLWEwOGItZmQyNDU3MDE3OTEwXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzhkODY0ZWUtYjY5YS00MTVlLWIxZWQtNTJlNDZmMmZjY2Q3XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
Thor: Ragnarok (2017),3501632,Action|Adventure|Sci-Fi,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@.V1_UY800.jpg,https://www.imdb.com/video/vi2012987161,https://m.media-amazon.com/images/M/MV5BMTg2NDIyNzcxMV5BMl5BanBnXkFtZTgwMDMyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjUwNDkyNzYyM15BMl5BanBnXkFtZTgwMTMyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjI2Mjg3NTkwNl5BMl5BanBnXkFtZTgwMjMyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTg4MDM1Mzg3OF5BMl5BanBnXkFtZTgwMzMyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTUxNTc4OTE4NV5BMl5BanBnXkFtZTgwOTIyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTgzMzU1OTAzN15BMl5BanBnXkFtZTgwMjIyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTYxODg2ODI5NF5BMl5BanBnXkFtZTgwNDIyMjgwNDI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTUxMjk5MTg5NV5BMl5BanBnXkFtZTgwNTIyMjgwNDI@.V1_UY800.jpg,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Wonder Woman (2017),451279,Action|Adventure|Fantasy,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Link not available,https://www.imdb.com/video/vi2082717465,https://m.media-amazon.com/images/M/MV5BMjIyMzkzNTE0N15BMl5BanBnXkFtZTgwMjYzOTA4NDM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTYwMTU1MDk5NF5BMl5BanBnXkFtZTgwNDUyOTYzMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjA4MjQyMjcxOV5BMl5BanBnXkFtZTgwODUyOTYzMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTc1ODUwMTYyM15BMl5BanBnXkFtZTgwNjYyOTYzMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjIwNjMyMzY2OF5BMl5BanBnXkFtZTgwODYyOTYzMjI@.V1_UY800.jpg,"https://m.media-amazon.com/images/M/MV5BMTEzNjU4NzgxNTReQTJeQWpwZ15BbWU4MDk2Mjk2MzIy._V1_UY100_CR40,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMTUyMDc5MDczMV5BMl5BanBnXkFtZTgwMDcyOTYzMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTUzNzE5NDQyNl5BMl5BanBnXkFtZTgwMjcyOTYzMjI@.V1_UY800.jpg,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
Dolemite Is My Name (2019),8526872,Comedy|Drama,Craig Brewer,"Eddie Murphy, Keegan-Michael Key, Mike Epps","Eddie Murphy portrays real-life legend Rudy Ray Moore , a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",Link not available,https://www.imdb.com/video/vi1107410713,Link not available,https://m.media-amazon.com/images/M/MV5BYzY1OWU0MzEtMWNhZC00MmRkLThjZDItYjJlN2M2NDhkNGMzXkEyXkFqcGdeQXVyNzg0ODMwNDg@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMWI4ZmY5NzItNmVlOC00MDg1LWFiYzUtZmRmYmMwYWQyYzhhXkEyXkFqcGdeQXVyNzg0ODMwNDg@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMDA3OGIwMTktNWMwMC00ZWQ3LTg4MTctYzlhZDViY2ZmM2EzXkEyXkFqcGdeQXVyMjY1MTkzMTk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjY1ZGY0NmQtNWM1OS00ZDA3LTk5MTgtNzI5MDUxYzAwOGJhXkEyXkFqcGdeQXVyMjY1MTkzMTk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzc0ZTBiNWQtZmM1MC00Mjg5LWI2NDEtODExZjY3OWM4MzkwXkEyXkFqcGdeQXVyMjY1MTkzMTk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BODQyODk2NzYtNTk1Ni00MDUyLWFiNzYtMWRhYjc0YjQyNjNmXkEyXkFqcGdeQXVyMjY1MTkzMTk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTg0NDExNjMtNTkzZC00MjEwLWEyMDAtMTA0MDNjMDU0MTBlXkEyXkFqcGdeQXVyMjY1MTkzMTk@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
